# 전 세트 — 필수(S급) 플래시카드. scripts/make-flashcards.py 가 생성한다 (직접 고치지 말 것)
# 앞면	뒷면	태그
Q14. Spring Boot の自動構成(auto-configuration)はどう動きますか？	`@EnableAutoConfiguration` が設定クラスの一覧を読み込み、各クラスに付いた `@ConditionalOnClass` や `@ConditionalOnMissingBean` で**条件に合うものだけが有効になります**。だからクラスパスに依存を足すだけで設定が入るように見えます。<br><br>— Spring Boot 자동 구성은 어떻게 동작하나	spring Q14 빈출
Q35. 同じクラス内のメソッドを呼ぶと `@Transactional` が効かないのはなぜですか？	自己呼び出しがプロキシを通らないからです。プロキシが挟まるのは外部から呼ばれたときだけで、内部の `this.method()` は素のオブジェクトの呼び出しになります。対処は呼び出し側を別のBeanに分けることです。<br><br>— 같은 클래스 안의 메서드를 부르면 @Transactional 이 안 걸리는 이유	spring Q35 빈출
Q42. `@Transactional` はどんな例外でロールバックしますか？	既定では `RuntimeException` と `Error` だけです。**チェック例外ではロールバックせず、そのままコミットされます**。戻したいなら `rollbackFor` を明示するか、最初からランタイム例外に包みます。<br><br>— @Transactional 은 어떤 예외에서 롤백하나	spring Q42 함정
Q34. JDK動的プロキシとCGLIBプロキシの違いは？	JDK動的プロキシはインターフェースが必須、CGLIBは対象クラスを継承します。Spring Boot は既定でCGLIBなので、**`final` クラスやメソッドにはプロキシを掛けられません**。<br><br>— JDK 동적 프록시와 CGLIB 프록시의 차이	spring Q34
Q38. トランザクション伝播の `REQUIRED` と `REQUIRES_NEW` の違いは？	`REQUIRED` は既存に参加するので、内側でロールバックすると外側も巻き込まれます。`REQUIRES_NEW` は別のコネクションで新しく始めるので、外側がロールバックしても内側のデータは残ります。<br><br>— 전파 속성 REQUIRED 와 REQUIRES_NEW 의 차이	spring Q38
Q47. `@Transactional` が効かないケースを挙げてください。	自己呼び出し、`private` メソッド、`final`、Beanでないクラス、別スレッドです。共通しているのは**プロキシを経由しない**という点です。<br><br>— @Transactional 이 안 걸리는 경우	spring Q47
Q45. トランザクションの中で外部API呼び出しをしてもよいですか？	避けるべきです。相手が遅いとその間ずっとDBコネクションを握り続け、プールが枯渇してアプリ全体が止まります。DBのコミット後にイベントで呼び出す形にします。<br><br>— 트랜잭션 안에서 외부 API 를 호출해도 되나	spring Q45 실무
Q56. リクエストが来てからレスポンスを返すまでの流れを説明してください。	`DispatcherServlet` が受け取り、`HandlerMapping` で担当を決め、`HandlerAdapter` が呼び出し、その前後で `Interceptor` が動きます。戻り値は `HttpMessageConverter` か `ViewResolver` が処理し、例外は `HandlerExceptionResolver` が扱います。<br><br>— 요청이 와서 응답을 반환하기까지의 흐름	spring Q56 빈출
Q66. Filter・Interceptor・AOP はどう使い分けますか？	Filterはサーブレットコンテナのレベル、InterceptorはSpring MVCの内部、AOPはBeanのメソッド単位です。**どのレイヤーの情報が必要かで決まります**。<br><br>— 필터·인터셉터·AOP 의 사용 구분	spring Q66 빈출
Q64. HTTPステータスコードはどう使い分けますか？	エラーを200で返してボディのフラグで示すと、**リトライも監視もキャッシュも全部機能しなくなります**。ステータスコードはプロトコルの一部として正しく使います。<br><br>— HTTP 상태 코드는 어떻게 구분해 쓰나	spring Q64
Q76. Tomcat のスレッドプール設定はどう決めますか？	重要なのは**下流の上限と揃える**ことです。スレッドを400にしてもDBコネクションプールが20なら、380個は待つだけで、むしろ待ち行列が伸びて応答が悪化します。<br><br>— Tomcat 스레드풀 설정은 어떻게 정하나	spring Q76 실무
Q89. N+1問題とは何ですか？	一覧のクエリが1回、各要素の関連を取るクエリがN回発行される状態です。遅延ロードでループ中に関連へアクセスした瞬間に個別クエリが走ります。**本番のデータ量で初めて顕在化する**のが厄介です。<br><br>— N+1 문제란	spring Q89 빈출
Q92. fetch join とページングを一緒に使うとどうなりますか？	コレクションの fetch join にページングを掛けると、**Hibernateは limit 句を付けずに全件を取得し、メモリ上でページングします**。警告は出ますが例外にならないので、データが増えたときにOOMになります。<br><br>— fetch join 과 페이징을 함께 쓰면 어떻게 되나	spring Q92 변별력
Q94. OSIV(Open Session In View)を無効にする理由は？	有効だと**ビューのレンダリングが終わるまでDBコネクションを保持し続ける**からです。トラフィックが増えるとプールが枯渇します。無効にすると `LazyInitializationException` が出ますが、それは問題が可視化されただけです。<br><br>— OSIV 를 끄는 이유	spring Q94 실무
Q108. コネクションプールが枯渇したとき、原因をどう切り分けますか？	スロークエリなら**必ず返却されるので使用時間の分布に現れ**、p99が伸びます。リークなら**そもそも返却されず分布に現れない**のに active だけ増え続けます。`leakDetectionThreshold` を設定すれば借りた時点のスタックトレースが出ます。<br><br>— 커넥션 풀이 고갈됐을 때 원인을 어떻게 가리나	spring Q108 변별력
Q14. GIL とは何で、何が制限されますか？	CPython のインタプリタが同時に一つのスレッドしか Python バイトコードを実行させない仕組みです。制限されるのは **CPU バウンドの並列化**で、I/O 待ちの間は GIL が解放されるので、ネットワークやファイル待ちが多い処理はスレッドでも効果があります。<br><br>— GIL 이란	python Q14 빈출
Q15. スレッド・プロセス・asyncio はどう使い分けますか？	判断の起点は「待っているのか、計算しているのか」です。I/O バウンドで接続数が多いなら asyncio、既存のブロッキングライブラリを使うならスレッド、CPU バウンドなら `multiprocessing` でプロセスに分けます。<br><br>— 스레드·프로세스·asyncio 사용 구분	python Q15 빈출
Q16. `async`/`await` はどう動きますか？	**コルーチンの中でブロッキング処理を呼ぶとイベントループ全体が止まる**ことです。同期的なライブラリを使うなら `run_in_executor` でスレッドに逃がします。<br><br>— async/await 의 동작	python Q16 함정 실무
Q2. デフォルト引数にリストを指定すると何が起きますか？	デフォルト値は関数の定義時に一度だけ評価されるので、呼び出しをまたいで同じオブジェクトが使い回されます。対策は `None` を既定にして、関数の中で `if x is None: x = []` とすることです。<br><br>— 기본 인자에 리스트를 지정하면 생기는 문제	python Q2 함정
Q3. 浅いコピーと深いコピーの違いは？	浅いコピーは一段目だけを新しく作り、中の要素は元と同じオブジェクトを参照します。ネストした構造を浅くコピーすると内側の変更が元にも及ぶので、必要なときだけ `copy.deepcopy` を使い、そもそも不変にする設計を優先します。<br><br>— 얕은 복사와 깊은 복사의 차이	python Q3 함정
Q26. CPython のメモリ管理はどうなっていますか？	基本は参照カウントで、参照が 0 になった瞬間に解放されます。ただし**循環参照は参照カウントでは消えない**ので、世代別のガベージコレクタが補います。<br><br>— CPython 의 메모리 관리	python Q26 빈출
Q8. ジェネレータは何が嬉しいのですか？	値を一度に全部作らず必要になったときに一つずつ返すので、**メモリを要素数に比例させずに済みます**。巨大なファイルの行処理や無限に続く数列を扱えます。ただし一度しか回せません。<br><br>— 제너레이터의 장점	python Q8
Q30. `functools.lru_cache` を使うときの注意点は？	`maxsize=None` は無制限なので、引数の種類が多い関数に付けるとそのままメモリリークになります。インスタンスメソッドに付けると `self` を掴んでオブジェクトが解放されない点も要注意です。<br><br>— lru_cache 사용 시 주의점	python Q30 변별력
Q33. `pickle` を使うときのリスクは？	**信頼できないデータを `pickle.loads` すると任意のコードが実行されます。**外部から来たデータには絶対に使わず、用途を内部のキャッシュやプロセス間通信に限ります。<br><br>— pickle 의 위험	python Q33 보안
Q40. 外部 API を呼ぶときに必ず設定することは？	タイムアウトの設定です。`requests` はデフォルトで無期限なので、指定しないと相手が応答しないだけでこちらのワーカーが枯渇します。<br><br>— 외부 API 호출 시 반드시 설정하는 것	python Q40 함정 실무
Q6. イベントループはどう動きますか？	コールスタックが空になると、まずマイクロタスクキューを**空になるまで**処理し、その後マクロタスクを一つ取ります。Promise のコールバックはマイクロタスク、`setTimeout` はマクロタスクなので、`setTimeout(fn, 0)` より Promise の方が先に走ります。<br><br>— 이벤트 루프의 동작	javascript Q6 빈출
Q7. Promise の状態と `then` の連鎖について説明してください。	pending から fulfilled か rejected へ一度だけ遷移します。`then` は新しい Promise を返すので連鎖でき、**`then` の中で Promise を返すとそれが解決されてから次に進みます**。`return` を書き忘れると待たずに進んでしまいます。<br><br>— Promise 의 상태와 then 체인	javascript Q7 빈출
Q10. 複数の非同期処理を並行に走らせるときの注意は？	`for` の中で `await` すると直列になるので、並行にしたいなら Promise を先に作って `Promise.all` に渡します。ただし無制限に並行にすると相手のサーバやコネクション上限を壊すので、同時実行数を制限します。<br><br>— 여러 비동기 처리를 병행할 때의 주의	javascript Q10 실무
Q9. `async`/`await` のエラー処理はどう書きますか？	`try`/`catch` で囲みます。注意点は、**`await` を付け忘れた Promise は catch されない**ことで、それが未処理の rejection になります。Node なら `unhandledRejection` を監視します。<br><br>— async/await 의 에러 처리	javascript Q9 함정
Q4. `this` は何で決まりますか？	呼び出し方で決まります。メソッド呼び出しならレシーバ、`new` ならその新しいインスタンス、`call`/`bind` なら指定したものです。**アロー関数だけが例外で、自分の `this` を持たず定義時の外側を使います**。<br><br>— this 는 무엇으로 정해지나	javascript Q4 빈출
Q3. クロージャとは何ですか？	関数が定義されたときのスコープを覚えたまま持ち歩く仕組みです。プライベート変数やモジュールパターンに使いますが、DOM や大きなオブジェクトを掴んだままにすると解放されずメモリリークになります。<br><br>— 클로저란	javascript Q3
Q1. `var`・`let`・`const` の違いは？	`var` は関数スコープで巻き上げられ、宣言前でも `undefined` として参照できてしまいます。`let` と `const` はブロックスコープで、宣言前の参照は TDZ でエラーになります。**`const` は再代入を禁止するだけで中身の変更は防ぎません**。<br><br>— var·let·const 의 차이	javascript Q1
Q19. JavaScript でメモリリークはどんなときに起きますか？	一番多いのはイベントリスナーやタイマーの解除漏れです。DOM を消してもリスナーが参照を持っていると回収されません。調査は DevTools のヒープスナップショットを二点取って差分を見ます。<br><br>— 자바스크립트의 메모리 누수	javascript Q19 실무
Q24. `localStorage`・`sessionStorage`・Cookie の使い分けは？	**認証トークンを `localStorage` に置くと XSS で盗まれます。**セッションの識別子は `HttpOnly`・`Secure`・`SameSite` を付けた Cookie に置くのが基本で、ストレージには機密でない表示設定などを入れます。<br><br>— localStorage·sessionStorage·쿠키 구분	javascript Q24 변별력 보안
Q25. XSS はどう防ぎますか？	出力時のエスケープが基本で、フレームワークが既定でやってくれるものを安易に外さないことです。多層で守るため、CSP でインラインスクリプトを制限し、Cookie は `HttpOnly` にして盗まれても使えないようにします。<br><br>— XSS 방어	javascript Q25 보안
Q5. 複合インデックスの列の順序はなぜ重要ですか？	先頭の列から順にしか使えないからです。`(A, B)` のインデックスは A の条件では効きますが、**B だけの条件では効きません**。等値条件でよく使う列を先に、範囲条件の列を後ろに置きます。<br><br>— 복합 인덱스의 컬럼 순서<br>실행 근거: DB-14	db Q5 빈출 DB-14
Q4. インデックスがあるのに使われないのはどんなときですか？	大きく三つです。条件が列を加工しているとき、中間一致のとき、そして**選択率が悪くて全件読んだ方が速いと判断されたとき**です。最後は正常な動作なので、実行計画で理由を確認します。<br><br>— 인덱스가 있는데 안 쓰이는 경우<br>실행 근거: DB-03	db Q4 함정 DB-03
Q7. 実行計画では何を見ますか？	まずアクセス方法、次に結合の方法と順序、そして**見積もりの行数と実際の行数の差**を見ます。差が大きければ統計が古いか、条件の書き方が推定を狂わせています。<br><br>— 실행 계획에서 보는 것<br>실행 근거: DB-03	db Q7 DB-03
Q11. 分離レベルの違いを現象で説明してください。	READ COMMITTED では同じ行を二度読むと値が変わりうる、いわゆる反復不能読み取りが起きます。REPEATABLE READ ではスナップショットが保たれるので変わりません。SERIALIZABLE は競合時に失敗するので**リトライの実装が前提**です。<br><br>— 격리 수준을 현상으로 설명<br>실행 근거: DB-01	db Q11 빈출 DB-01
Q15. デッドロックはなぜ起きて、どう対処しますか？	複数のトランザクションが**違う順序で**ロックを取り合うと起きます。一番実効性がある対策はアクセス順序をそろえることで、ゼロにはできないので**再試行を前提に設計**します。<br><br>— 데드락의 원인과 대처<br>실행 근거: DB-07	db Q15 빈출 DB-07
Q12. MVCC とは何ですか？	行の複数バージョンを持ち、読み取りは自分のスナップショットに合うバージョンを見る仕組みで、**読み取りが書き込みをブロックしません**。代わりに古いバージョンが溜まるので、長時間開きっぱなしのトランザクションはテーブルを膨らませます。<br><br>— MVCC 란	db Q12 변별력
Q17. コネクションプールのサイズはどう決めますか？	大きくすれば速いわけではありません。DB 側は CPU とディスクで並列度が決まるので、それを超えて渡しても**待ち行列が DB の中に移るだけ**です。アプリのインスタンス数 × プールサイズが DB の最大接続数を超えないことも必ず確認します。<br><br>— 커넥션 풀 사이즈 결정<br>실행 근거: DB-02	db Q17 빈출 실무 DB-02
Q18. コネクションプールが枯渇したとき、原因をどう切り分けますか？	三つに分けます。リーク、占有が長い、単純な容量不足です。見分け方は**負荷を止めた後**で、負荷が終わってもアクティブが減らないならリーク、負荷中だけ張り付くなら占有時間か容量の問題です。<br><br>— 커넥션 풀 고갈의 원인 분리<br>실행 근거: DB-06	db Q18 변별력 DB-06
Q19. SQL インジェクションはどう防ぎますか？	パラメータバインディングです。値としてドライバに渡すので構文として解釈されません。注意点は**バインドできない場所がある**ことで、テーブル名や並び替えの列名はホワイトリストで対応付けます。<br><br>— SQL 인젝션 방어<br>실행 근거: DB-04 · DB-19	db Q19 보안 DB-04 DB-19
Q35. 同じ処理が二回実行されても大丈夫にするにはどうしますか？	冪等にします。リクエストごとの一意なキーを受け取り、**そのキーにユニーク制約を張って**二回目を弾きます。アプリで確認してから実行する方式は、同時に来ると両方が通ってしまいます。<br><br>— 같은 처리가 두 번 실행돼도 괜찮게 만들기<br>실행 근거: DB-12	db Q35 실무 DB-12
Q3. 順序保証はどこまでされますか？	**同じパーティションの中だけ**です。トピック全体では保証されません。だから順序が必要な単位をキーにします。同じキーは常に同じパーティションへ行くので、その中では順序が保たれます。<br><br>— 순서 보장의 범위<br>실행 근거: KAFKA-01	kafka Q3 빈출 KAFKA-01
Q5. コンシューマグループはどういう仕組みですか？	同じグループ ID のコンシューマでパーティションを分担し、一つのパーティションはグループ内の一つのコンシューマだけが読みます。別のグループを作れば、同じデータを独立して最初から読めます。<br><br>— 컨슈머 그룹의 구조<br>실행 근거: KAFKA-05	kafka Q5 빈출 KAFKA-05
Q13. コンシューマを増やせばその分速くなりますか？	パーティション数までは効きますが、**それを超えたコンシューマは割り当てを受けられず待つだけ**です。だからオートスケールの上限はパーティション数になります。<br><br>— 컨슈머를 늘리면 그만큼 빨라지나<br>실행 근거: KAFKA-05	kafka Q13 함정 KAFKA-05
Q10. Exactly-Once は何を保証しますか？	保証されるのは **Kafka の中で完結する範囲**です。外部の DB や API への副作用までは保証されないので、そこは冪等キーなどアプリ側の設計で守ります。「EOS があるから重複対策は不要」は誤解です。<br><br>— Exactly-Once 가 보장하는 것<br>실행 근거: KAFKA-04	kafka Q10 함정 변별력 KAFKA-04
Q11. オフセットのコミットはどう扱いますか？	自動コミットは処理が終わる前にコミットされて**失敗したメッセージを取りこぼす**ことがあります。処理後に手動でコミットすると at-least-once になるので、**処理は冪等に作る**のが前提です。<br><br>— 오프셋 커밋 취급	kafka Q11 실무
Q7. `acks` の設定はどう選びますか？	データを失いたくないなら `acks=all` です。ただしそれだけでは足りず、**`min.insync.replicas` を 2 以上にして初めて意味を持ちます**。レプリカが一つしか生きていない状態で `all` にしても、それが落ちれば失われます。<br><br>— acks 설정 선택	kafka Q7
Q15. 処理に失敗したメッセージはどうしますか？	その場で無限に再試行すると、**後ろのメッセージが全部止まります**。一つの毒メッセージでパーティションが詰まるのが典型的な障害なので、回数を決めて再試行し、超えたら別のトピックに退避します。<br><br>— 처리 실패 메시지 처리<br>실행 근거: KAFKA-03	kafka Q15 함정 실무 KAFKA-03
Q12. コンシューマラグは何を意味しますか？	発行された最新のオフセットと処理済みのオフセットの差で、追いついていない量を示します。見方の要点は**傾き**で、一時的に増えても減っていくならピークを吸収できています。<br><br>— 컨슈머 랙의 의미<br>실행 근거: KAFKA-02	kafka Q12 빈출 KAFKA-02
Q31. トラフィックの急増を Kafka でどう吸収しますか？	瞬間的なピークならキューが吸収しますが、**戻らないなら容量不足**です。ラグの傾きを見て、増え続けるならコンシューマを増やすか処理を速くします。キューは時間を稼ぐだけで処理能力は増やしません。<br><br>— 트래픽 급증 흡수<br>실행 근거: MSA-03	kafka Q31 실무 MSA-03
Q26. DB 更新とイベント発行を確実に一致させるには？	DB とブローカーは別のシステムなので一つのトランザクションにはできません。Outbox パターンで、**業務データと同じトランザクションで送信予定を専用テーブルに書き**、別プロセスが読んで発行します。<br><br>— DB 갱신과 이벤트 발행의 일치<br>실행 근거: MSA-01	kafka Q26 설계 MSA-01
Q11. liveness と readiness の違いは？	liveness は「死んでいるなら再起動する」、readiness は「準備できていないならトラフィックを送らない」で、役割が全く違います。**liveness に重い依存チェックを入れると、DB が一瞬遅いだけで再起動ループになります**。<br><br>— liveness 와 readiness 의 차이	kubernetes Q11 빈출 함정
Q13. requests と limits はどう違いますか？	requests はスケジューリングで確保する量、limits は超えてはいけない上限です。**CPU の limit を超えるとスロットルされ、メモリの limit を超えると OOMKilled されます** — ここが CPU とメモリで挙動が違う一番大事な点です。<br><br>— requests 와 limits 의 차이	kubernetes Q13 빈출
Q14. limits と JVM の関係で気をつけることは？	JVM はコンテナの制限を見て自分を構成するので、**CPU が 1 だとエルゴノミクスがシリアル GC を選びます**。またヒープの外にもメタスペースやスレッドスタックが要るので、コンテナの制限はヒープより十分大きくしないと OOMKilled になります。<br><br>— limits 와 JVM 의 관계<br>실행 근거: CN-04A · CN-04B	kubernetes Q14 변별력 자바연계 CN-04A CN-04B
Q27. OOMKilled が出たらどうしますか？	まず本当に足りないのか、リークなのかを分けます。使用量が右肩上がりならリークです。JVM なら**ヒープの外を忘れていないか**を確認します。ヒープを limit と同じにすると必ず超えます。<br><br>— OOMKilled 가 나오면<br>실행 근거: JVM-07	kubernetes Q27 실무 JVM-07
Q7. Service は何をしていますか？	複数の Pod に対する**安定した宛先**を提供します。Pod は入れ替わるたびに IP が変わるので直接指定できません。セレクタでラベルの合う Pod を集め、各ノードの kube-proxy が転送します。<br><br>— Service 의 역할	kubernetes Q7 빈출
Q28. サービスに繋がらないとき、どこから見ますか？	経路を順にたどります。まず Service のセレクタに合う Pod がいるか、**`Endpoints` が空でないか**を見ます。空ならラベルが合っていないか readiness が通っていません。次にポート、DNS、NetworkPolicy の順です。<br><br>— 서비스에 연결되지 않을 때	kubernetes Q28 변별력 실무
Q19. ローリングアップデートはどう動きますか？	新しい ReplicaSet を少しずつ増やし、古い方を減らします。**readiness が通るまで新しい Pod にはトラフィックが来ない**ので、readiness を正しく作っていることが前提です。<br><br>— 롤링 업데이트의 동작	kubernetes Q19 빈출
Q21. Pod を安全に終了させるにはどうしますか？	終了が始まると、Service の宛先から外す処理と SIGTERM の送信が**並行して**起きます。つまり外れる前に落ちると処理中のリクエストが失敗するので、`preStop` で数秒待ってから終了処理に入ります。<br><br>— Pod 의 안전한 종료	kubernetes Q21 함정 실무
Q26. Pod が起動しないとき、どう調べますか？	まず状態を見ます。`Pending` ならスケジュールできていない、`ImagePullBackOff` ならイメージが取れない、`CrashLoopBackOff` なら起動して落ちている。**状態ごとに原因の場所が違います**。<br><br>— Pod 이 기동하지 않을 때	kubernetes Q26 빈출
Q50. 障害が起きたとき、まず何をしますか？	影響範囲の確認と、**直近の変更の確認**です。多くの障害は直前のデプロイか設定変更に紐づいているので、まずそこを疑い、必要なら戻します。原因究明より復旧が先です。<br><br>— 장애 시 첫 대응	kubernetes Q50 시니어
